Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,home_elo,away_elo
1960,2016-12-07,Juventus,Dinamo Zagreb,2.0,0.0,H,1702.76,1392.52
1961,2017-02-22,Porto,Juventus,0.0,2.0,A,1507.08,1715.44
1962,2017-03-14,Juventus,Porto,1.0,0.0,H,1722.8,1499.72
1965,2017-05-03,Monaco,Juventus,0.0,2.0,A,1530.4,1735.68
1966,2017-05-09,Juventus,Monaco,2.0,1.0,H,1743.16,1522.92
1969,2015-09-30,Juventus,Sevilla,2.0,0.0,H,1749.32,1491.44
1970,2015-10-21,Juventus,M'Gladbach,0.0,0.0,D,1734.24,1472.72
1971,2015-11-03,M'Gladbach,Juventus,1.0,1.0,D,1483.6,1723.36
1973,2015-12-08,Sevilla,Juventus,1.0,0.0,H,1521.04,1693.76
1974,2016-02-23,Juventus,Bayern Munich,2.0,2.0,D,1696.04,1780.92
1975,2016-03-16,Bayern Munich,Juventus,4.0,2.0,H,1793.52,1683.44
1976,2014-09-16,Juventus,Malmö,2.0,0.0,H,1688.6,1396.4
1978,2014-10-22,Olympiacos,Juventus,1.0,0.0,H,1496.48,1659.48
1979,2014-11-04,Juventus,Olympiacos,3.0,2.0,H,1668.56,1487.4
1980,2014-11-26,Malmö,Juventus,0.0,2.0,A,1387.68,1677.28
1982,2015-02-24,Juventus,Dortmund,2.0,1.0,H,1690.24,1586.76
1983,2015-03-18,Dortmund,Juventus,0.0,3.0,A,1569.8,1707.2
1984,2015-04-14,Juventus,Monaco,1.0,0.0,H,1715.44,1514.68
1985,2015-04-22,Monaco,Juventus,0.0,0.0,D,1522.84,1707.28
1989,2013-09-17,FC Copenhagen,Juventus,1.0,1.0,D,1505.92,1698.68
1990,2013-10-02,Juventus,Galatasaray,2.0,2.0,D,1685.8,1495.92
1993,2013-11-27,Juventus,FC Copenhagen,3.0,1.0,H,1694.2,1497.52
1994,2013-12-11,Galatasaray,Juventus,1.0,0.0,H,1523.96,1666.16
1995,2013-08-20,PSV,Milan,1.0,1.0,D,1466.08,1580.48
1996,2013-08-28,Milan,PSV,3.0,0.0,H,1591.68,1454.88
